phase,sweep,energy
burn,10,-37061.117998304115
burn,20,-36918.94789947393
burn,30,-37020.69018605904
burn,40,-37063.89409546205
burn,50,-37043.581386740814
burn,60,-37022.36667992647
burn,70,-36995.48892597954
burn,80,-36934.95320534224
burn,90,-36951.561993856565
burn,100,-36872.07937166349
burn,110,-36885.801294623765
burn,120,-36927.92398611255
burn,130,-36894.46900465018
burn,140,-37032.14026354317
burn,150,-37095.987112738505
burn,160,-36944.69978647011
burn,170,-36779.87400067438
burn,180,-37054.334970809796
burn,190,-36718.40002514106
burn,200,-36836.233105982945
sample,10,-36937.59947091846
sample,20,-36935.81810741077
sample,30,-36882.302741434796
sample,40,-36882.30300514506
sample,50,-36925.24010902375
sample,60,-36915.54452242237
sample,70,-36914.343758671355
sample,80,-36852.43501862781
sample,90,-36822.71219228942
sample,100,-36917.58763431964
sample,110,-36993.36415698743
sample,120,-36948.15707336972
sample,130,-36882.34246989376
sample,140,-36925.62978814855
sample,150,-36870.25335718712
sample,160,-36918.49403710656
sample,170,-36847.67966794762
sample,180,-36835.626546112006
sample,190,-36884.102837216495
sample,200,-36833.76337579534
sample,210,-36922.88835498956
sample,220,-36851.800699975225
sample,230,-36799.669581422386
sample,240,-36896.533626159886
sample,250,-36846.277039996465
sample,260,-36928.83512498556
sample,270,-36964.77475788216
sample,280,-36873.332791889414
sample,290,-36995.40538837582
sample,300,-36924.34860546262
sample,310,-36836.081892977876
sample,320,-36809.58654676348
sample,330,-36811.21309050175
sample,340,-36898.458781300564
sample,350,-36921.34814981361
sample,360,-36983.01892496129
sample,370,-36969.32983705167
sample,380,-36735.2262614589
sample,390,-36829.42431341795
sample,400,-36920.20564115095
sample,410,-37037.59110325986
sample,420,-36888.44178553624
sample,430,-36858.69184028569
sample,440,-36891.39571818118
sample,450,-36982.69318858755
sample,460,-36939.91929570437
sample,470,-36844.10688493246
sample,480,-36850.19815477151
sample,490,-36983.5836712508
sample,500,-37080.35943154392
