phase,sweep,energy
burn,10,-300772.69628542
burn,20,-300933.84358893184
burn,30,-301043.5504333089
burn,40,-300900.9071548488
burn,50,-301034.67916172114
burn,60,-301205.69450108544
burn,70,-301315.32095847314
burn,80,-301097.47963055957
burn,90,-301529.56938631827
burn,100,-301460.3865393444
burn,110,-301815.7945591649
burn,120,-302152.50521529425
burn,130,-302506.12915307767
burn,140,-302870.28759132884
burn,150,-303270.5462216508
burn,160,-303760.53296147124
burn,170,-304225.34866899153
burn,180,-304548.09014025284
burn,190,-304943.67592245515
burn,200,-305340.72877322766
sample,10,-305770.14839712833
sample,20,-306203.493158078
sample,30,-306465.5037812547
sample,40,-306847.08248180215
sample,50,-307075.1930434788
sample,60,-307337.7430144301
sample,70,-307438.9268962242
sample,80,-307808.1670421688
sample,90,-308156.2517017739
sample,100,-308220.24832835264
sample,110,-308540.57670082833
sample,120,-308589.4031429817
sample,130,-308799.6343726198
sample,140,-308936.52933893417
sample,150,-309191.3764603979
sample,160,-309262.4853177051
sample,170,-309338.1903401725
sample,180,-309484.57239296276
sample,190,-309678.7733717965
sample,200,-309739.3009714731
sample,210,-309988.34654319804
sample,220,-310020.89675354917
sample,230,-310182.0724626973
sample,240,-310237.2724068339
sample,250,-310303.16276871244
sample,260,-310475.8722424684
sample,270,-310438.3729575613
sample,280,-310810.45631449076
sample,290,-310818.6367924783
sample,300,-310535.4122279506
sample,310,-310805.75183413445
sample,320,-310791.0934318692
sample,330,-310801.37447332515
sample,340,-310823.0822373823
sample,350,-310831.1557683604
sample,360,-310856.89535814297
sample,370,-310854.58441928565
sample,380,-310775.47750322084
sample,390,-310841.84035183466
sample,400,-310808.6740330121
sample,410,-310794.12095307134
sample,420,-310951.4695922509
sample,430,-310949.2168683986
sample,440,-310928.77749275696
sample,450,-310947.38013448013
sample,460,-310961.32399009616
sample,470,-311087.72429695824
sample,480,-310992.5236841227
sample,490,-310999.80492926284
sample,500,-311023.2372482338
