phase,sweep,energy
burn,10,-930655.2687464434
burn,20,-930655.2687464434
burn,30,-930655.2687464434
burn,40,-930655.2687464434
burn,50,-930655.2687464434
burn,60,-930655.2687464434
burn,70,-930655.2687464434
burn,80,-930655.2687464434
burn,90,-930655.2687464434
burn,100,-930655.2687464434
burn,110,-930655.2687464434
burn,120,-930655.2687464434
burn,130,-930655.2687464434
burn,140,-930655.2687464434
burn,150,-930655.2687464434
burn,160,-930655.2687464434
burn,170,-930655.2687464434
burn,180,-930655.2687464434
burn,190,-930655.2687464434
burn,200,-930655.2687464434
sample,10,-930655.2687464434
sample,20,-930655.2687464434
sample,30,-930655.2687464434
sample,40,-930655.2687464434
sample,50,-930655.2687464434
sample,60,-930655.2687464434
sample,70,-930655.2687464434
sample,80,-930655.2687464434
sample,90,-930655.2687464434
sample,100,-930655.2687464434
sample,110,-930655.2687464434
sample,120,-930655.2687464434
sample,130,-930655.2687464434
sample,140,-930655.2687464434
sample,150,-930655.2687464434
sample,160,-930655.2687464434
sample,170,-930655.2687464434
sample,180,-930655.2687464434
sample,190,-930655.2687464434
sample,200,-930655.2687464434
sample,210,-930655.2687464434
sample,220,-930655.2687464434
sample,230,-930655.2687464434
sample,240,-930655.2687464434
sample,250,-930655.2687464434
sample,260,-930655.2687464434
sample,270,-930655.2687464434
sample,280,-930655.2687464434
sample,290,-930655.2687464434
sample,300,-930655.2687464434
sample,310,-930655.2687464434
sample,320,-930655.2687464434
sample,330,-930655.2687464434
sample,340,-930655.2687464434
sample,350,-930655.2687464434
sample,360,-930655.2687464434
sample,370,-930655.2687464434
sample,380,-930655.2687464434
sample,390,-930655.2687464434
sample,400,-930655.2687464434
sample,410,-930655.2687464434
sample,420,-930655.2687464434
sample,430,-930655.2687464434
sample,440,-930655.2687464434
sample,450,-930655.2687464434
sample,460,-930655.2687464434
sample,470,-930655.2687464434
sample,480,-930655.2687464434
sample,490,-930655.2687464434
sample,500,-930655.2687464434
